"species_code","alt_full_spp_code","n_locations","scientific_name","american_english_name","taxonomy_version","taxonomic_sort_order"
"grerhe1",NA,"1","Rhea americana","Greater Rhea",2023,10
"gretin1",NA,"3","Tinamus major","Great Tinamou",2023,42
"wfwduc1",NA,"1","Dendrocygna viduata","White-faced Whistling-Duck",2023,231
"bbwduc",NA,"130","Dendrocygna autumnalis","Black-bellied Whistling-Duck",2023,233
"fuwduc",NA,"2","Dendrocygna bicolor","Fulvous Whistling-Duck",2023,238
"snogoo",NA,"149","Anser caerulescens","Snow Goose",2023,256
"rosgoo",NA,"7","Anser rossii","Ross's Goose",2023,260
"swagoo2","swagoo1","1","Anser cygnoides (Domestic type)","Swan Goose (Domestic type)",2023,269
"gwfgoo",NA,"13","Anser albifrons","Greater White-fronted Goose",2023,271
"gwfgoo2","gwfgoo","1","Anser albifrons gambelli/sponsa","Greater White-fronted Goose (Western)",2023,274
"domgoo1",NA,"17","Anser sp. (Domestic type)","Domestic goose sp. (Domestic type)",2023,294
"brant",NA,"3","Branta bernicla","Brant",2023,296
"bargoo",NA,"1","Branta leucopsis","Barnacle Goose",2023,304
"cacgoo1",NA,"14","Branta hutchinsii","Cackling Goose",2023,313
"alcgoo1","cacgoo1","2","Branta hutchinsii leucopareia","Cackling Goose (Aleutian)",2023,314
"ricgoo1","cacgoo1","2","Branta hutchinsii hutchinsii","Cackling Goose (Richardson's)",2023,315
"cacgoo2","cacgoo1","1","Branta hutchinsii minima","Cackling Goose (minima)",2023,316
"cangoo",NA,"2947","Branta canadensis","Canada Goose",2023,324
"cangoo4","cangoo","19","Branta canadensis moffitti/maxima","Canada Goose (moffitti/maxima)",2023,325
"cangoo1","cangoo","7","Branta canadensis [canadensis Group]","Canada Goose (canadensis Group)",2023,331
"x00415",NA,"9","Anser albifrons x Branta canadensis","Greater White-fronted x Canada Goose (hybrid)",2023,338
"x00759",NA,"4","Anser sp. (Domestic type) x Branta canadensis","Domestic goose sp. x Canada Goose (hybrid)",2023,341
"x00197",NA,"1","Anser caerulescens x Branta canadensis","Snow x Canada Goose (hybrid)",2023,342
"hawgoo",NA,"1","Branta sandvicensis","Hawaiian Goose",2023,347
"mutswa",NA,"117","Cygnus olor","Mute Swan",2023,358
"truswa",NA,"40","Cygnus buccinator","Trumpeter Swan",2023,363
"tunswa",NA,"48","Cygnus columbianus","Tundra Swan",2023,365
"tunswa1","tunswa","2","Cygnus columbianus columbianus","Tundra Swan (Whistling)",2023,366
"x00418",NA,"2","Cygnus buccinator x columbianus","Trumpeter x Tundra Swan (hybrid)",2023,369
"y00471",NA,"54","Cygnus buccinator/columbianus","Trumpeter/Tundra Swan",2023,370
"swan1",NA,"4","Cygnus sp.","swan sp.",2023,375
"goose1",NA,"2","Anatidae (goose sp.)","goose sp.",2023,393
"egygoo",NA,"11","Alopochen aegyptiaca","Egyptian Goose",2023,397
"musduc",NA,"10","Cairina moschata","Muscovy Duck",2023,423
"musduc3","musduc","117","Cairina moschata (Domestic type)","Muscovy Duck (Domestic type)",2023,424
"wooduc",NA,"1182","Aix sponsa","Wood Duck",2023,433
"manduc",NA,"3","Aix galericulata","Mandarin Duck",2023,435
"baitea",NA,"1","Sibirionetta formosa","Baikal Teal",2023,453
"buwtea",NA,"88","Spatula discors","Blue-winged Teal",2023,460
"cintea",NA,"5","Spatula cyanoptera","Cinnamon Teal",2023,461
"norsho",NA,"68","Spatula clypeata","Northern Shoveler",2023,474
"gadwal",NA,"70","Mareca strepera","Gadwall",2023,478
"x00457",NA,"1","Spatula clypeata x Mareca strepera","Northern Shoveler x Gadwall (hybrid)",2023,481
"eurwig",NA,"1","Mareca penelope","Eurasian Wigeon",2023,485
"amewig",NA,"117","Mareca americana","American Wigeon",2023,487
"x00724",NA,"1","Mareca strepera x americana","Gadwall x American Wigeon (hybrid)",2023,491
"mallar3",NA,"4781","Anas platyrhynchos","Mallard",2023,515
"mallar2","mallar3","351","Anas platyrhynchos (Domestic type)","Mallard (Domestic type)",2023,518
"mdxmal1",NA,"23","Cairina moschata x Anas platyrhynchos","Muscovy Duck x Mallard (hybrid)",2023,519
"x00205",NA,"34","Aix sponsa x Anas platyrhynchos","Wood Duck x Mallard (hybrid)",2023,520
"x00420",NA,"1","Mareca strepera x Anas platyrhynchos","Gadwall x Mallard (hybrid)",2023,522
"x00423",NA,"1","Anas platyrhynchos x wyvilliana","Mallard x Hawaiian Duck (hybrid)",2023,527
"mexduc",NA,"5","Anas diazi","Mexican Duck",2023,534
"mallar",NA,"17","Anas platyrhynchos/diazi","Mallard/Mexican Duck",2023,536
"ambduc",NA,"347","Anas rubripes","American Black Duck",2023,537
"x00004",NA,"138","Anas platyrhynchos x rubripes","Mallard x American Black Duck (hybrid)",2023,539
"y00600",NA,"59","Anas platyrhynchos/rubripes","Mallard/American Black Duck",2023,540
"motduc",NA,"85","Anas fulvigula","Mottled Duck",2023,541
"x00422",NA,"24","Anas platyrhynchos x fulvigula","Mallard x Mottled Duck (hybrid)",2023,544
"whcpin",NA,"1","Anas bahamensis","White-cheeked Pintail",2023,551
"norpin",NA,"77","Anas acuta","Northern Pintail",2023,558
"gnwtea",NA,"104","Anas crecca","Green-winged Teal",2023,574
"egwtea1","gnwtea","1","Anas crecca crecca","Green-winged Teal (Eurasian)",2023,575
"agwtea1","gnwtea","9","Anas crecca carolinensis","Green-winged Teal (American)",2023,576
"x00670",NA,"1","Anas platyrhynchos x crecca","Mallard x Green-winged Teal (hybrid)",2023,585
"dabduc1",NA,"1","Anatidae sp. (dabbling duck sp.)","dabbling duck sp.",2023,616
"canvas",NA,"27","Aythya valisineria","Canvasback",2023,627
"redhea",NA,"34","Aythya americana","Redhead",2023,628
"rinduc",NA,"188","Aythya collaris","Ring-necked Duck",2023,634
"gresca",NA,"23","Aythya marila","Greater Scaup",2023,655
"lessca",NA,"81","Aythya affinis","Lesser Scaup",2023,661
"x00613",NA,"1","Aythya collaris x affinis","Ring-necked Duck x Lesser Scaup (hybrid)",2023,663
"scaup",NA,"3","Aythya marila/affinis","Greater/Lesser Scaup",2023,669
"comeid",NA,"6","Somateria mollissima","Common Eider",2023,676
"sursco",NA,"4","Melanitta perspicillata","Surf Scoter",2023,688
"whwsco2",NA,"3","Melanitta deglandi","White-winged Scoter",2023,690
"whwsco",NA,"3","Melanitta fusca/deglandi/stejnegeri","Velvet/White-winged/Stejneger's Scoter",2023,693
"blksco2",NA,"1","Melanitta americana","Black Scoter",2023,696
"lotduc",NA,"8","Clangula hyemalis","Long-tailed Duck",2023,700
"buffle",NA,"266","Bucephala albeola","Bufflehead",2023,701
"comgol",NA,"132","Bucephala clangula","Common Goldeneye",2023,702
"bargol",NA,"11","Bucephala islandica","Barrow's Goldeneye",2023,707
"y00004",NA,"3","Bucephala clangula/islandica","Common/Barrow's Goldeneye",2023,709
"hoomer",NA,"463","Lophodytes cucullatus","Hooded Merganser",2023,712
"x00202",NA,"1","Aix sponsa x Lophodytes cucullatus","Wood Duck x Hooded Merganser (hybrid)",2023,713
"x00424",NA,"1","Bucephala albeola x Lophodytes cucullatus","Bufflehead x Hooded Merganser (hybrid)",2023,714
"commer",NA,"251","Mergus merganser","Common Merganser",2023,720
"commer1","commer","10","Mergus merganser americanus","Common Merganser (North American)",2023,724
"rebmer",NA,"72","Mergus serrator","Red-breasted Merganser",2023,728
"x00614",NA,"2","Aythya collaris x Mergus serrator","Ring-necked Duck x Red-breasted Merganser (hybrid)",2023,729
"mergan1",NA,"2","Mergellus/Lophodytes/Mergus sp.","merganser sp.",2023,733
"rudduc",NA,"41","Oxyura jamaicensis","Ruddy Duck",2023,736
"duck1",NA,"32","Anatidae (duck sp.)","duck sp.",2023,750
"placha",NA,"19","Ortalis vetula","Plain Chachalaca",2023,811
"rubcha1",NA,"2","Ortalis wagleri","Rufous-bellied Chachalaca",2023,822
"colcha1",NA,"1","Ortalis columbiana","Colombian Chachalaca",2023,828
"helgui",NA,"16","Numida meleagris","Helmeted Guineafowl",2023,930
"mouqua",NA,"88","Oreortyx pictus","Mountain Quail",2023,966
"norbob",NA,"825","Colinus virginianus","Northern Bobwhite",2023,979
"norbob1","norbob","6","Colinus virginianus [virginianus Group]","Northern Bobwhite (Eastern)",2023,980
"scaqua",NA,"174","Callipepla squamata","Scaled Quail",2023,1032
"x00688",NA,"12","Colinus virginianus x Callipepla squamata","Northern Bobwhite x Scaled Quail (hybrid)",2023,1037
"calqua",NA,"2953","Callipepla californica","California Quail",2023,1045
"gamqua",NA,"1037","Callipepla gambelii","Gambel's Quail",2023,1056
"x00689",NA,"2","Callipepla squamata x gambelii","Scaled x Gambel's Quail (hybrid)",2023,1062
"y00315",NA,"1","Callipepla californica x gambelii","California x Gambel's Quail (hybrid)",2023,1063
"monqua",NA,"11","Cyrtonyx montezumae","Montezuma Quail",2023,1065
"quail1",NA,"9","Odontophoridae sp.","new world quail sp.",2023,1123
"wiltur",NA,"9721","Meleagris gallopavo","Wild Turkey",2023,1222
"rufgro",NA,"2270","Bonasa umbellus","Ruffed Grouse",2023,1231
"dusgro",NA,"12","Dendragapus obscurus","Dusky Grouse",2023,1263
"soogro1",NA,"5","Dendragapus fuliginosus","Sooty Grouse",2023,1268
"blugrs",NA,"7","Dendragapus obscurus/fuliginosus","Dusky/Sooty Grouse",2023,1273
"shtgro",NA,"106","Tympanuchus phasianellus","Sharp-tailed Grouse",2023,1274
"grpchi",NA,"1","Tympanuchus cupido","Greater Prairie-Chicken",2023,1283
"greprc1","grpchi","1","Tympanuchus cupido pinnatus","Greater Prairie-Chicken (pinnatus)",2023,1284
"wilpta",NA,"15","Lagopus lagopus","Willow Ptarmigan",2023,1297
"rocpta1",NA,"2","Lagopus muta","Rock Ptarmigan",2023,1318
"ptarmi1",NA,"1","Lagopus sp.","ptarmigan sp.",2023,1349
"sprgro",NA,"114","Canachites canadensis","Spruce Grouse",2023,1351
"frsgro1","sprgro","1","Canachites canadensis franklinii/isleibi","Spruce Grouse (Franklin's)",2023,1358
"grypar",NA,"262","Perdix perdix","Gray Partridge",2023,1393
"golphe",NA,"1","Chrysolophus pictus","Golden Pheasant",2023,1416
"rinphe1",NA,"3245","Phasianus colchicus","Ring-necked Pheasant",2023,1420
"rinphe2",NA,"2","Phasianus versicolor","Green Pheasant",2023,1452
"rinphe",NA,"11","Phasianus colchicus/versicolor","Ring-necked/Green Pheasant",2023,1457
"kalphe",NA,"1","Lophura leucomelanos","Kalij Pheasant",2023,1472
"silphe",NA,"1","Lophura nycthemera","Silver Pheasant",2023,1482
"compea",NA,"17","Pavo cristatus","Indian Peafowl",2023,1515
"indpea1","compea","7","Pavo cristatus (Domestic type)","Indian Peafowl (Domestic type)",2023,1516
"pheasa1",NA,"4","Phasianidae sp. (pheasant sp.)","pheasant sp.",2023,1554
"redjun1","redjun","4","Gallus gallus (Domestic type)","Red Junglefowl (Domestic type)",2023,1568
"gryfra",NA,"8","Ortygornis pondicerianus","Gray Francolin",2023,1581
"relpar1",NA,"2","Alectoris rufa","Red-legged Partridge",2023,1694
"chukar",NA,"76","Alectoris chukar","Chukar",2023,1698
"ercfra",NA,"1","Pternistis erckelii","Erckel's Spurfowl",2023,1749
"leagre",NA,"5","Tachybaptus dominicus","Least Grebe",2023,1825
"pibgre",NA,"138","Podilymbus podiceps","Pied-billed Grebe",2023,1831
"horgre",NA,"19","Podiceps auritus","Horned Grebe",2023,1842
"rengre",NA,"7","Podiceps grisegena","Red-necked Grebe",2023,1845
"eargre",NA,"4","Podiceps nigricollis","Eared Grebe",2023,1852
"y00229",NA,"1","Podiceps auritus/nigricollis","Horned/Eared Grebe",2023,1856
"wesgre",NA,"4","Aechmophorus occidentalis","Western Grebe",2023,1864
"rocpig",NA,"5","Columba livia","Rock Pigeon",2023,1874
"rocpig1","rocpig","12614","Columba livia (Feral Pigeon)","Rock Pigeon (Feral Pigeon)",2023,1889
"whcpig2",NA,"3","Patagioenas leucocephala","White-crowned Pigeon",2023,1976
"rebpig1",NA,"2","Patagioenas flavirostris","Red-billed Pigeon",2023,1977
"batpig1",NA,"2436","Patagioenas fasciata","Band-tailed Pigeon",2023,1986
"batpig2","batpig1","1","Patagioenas fasciata [fasciata Group]","Band-tailed Pigeon (Northern)",2023,1987
"y00319",NA,"1","Columba livia/Patagioenas fasciata","Rock/Band-tailed Pigeon",2023,1996
"eutdov",NA,"2","Streptopelia turtur","European Turtle-Dove",2023,2035
"ortdov",NA,"1","Streptopelia orientalis","Oriental Turtle-Dove",2023,2042
"eucdov",NA,"7522","Streptopelia decaocto","Eurasian Collared-Dove",2023,2051
"afcdov1",NA,"57","Streptopelia roseogrisea","African Collared-Dove",2023,2056
"afrcod1","afcdov1","193","Streptopelia roseogrisea (Domestic type)","African Collared-Dove (Domestic type or Ringed Turtle-Dove)",2023,2059
"rindov",NA,"23","Streptopelia capicola","Ring-necked Dove",2023,2071
"strept1",NA,"3","Streptopelia sp.","Streptopelia sp.",2023,2083
"spodov",NA,"188","Spilopelia chinensis","Spotted Dove",2023,2084
"zebdov",NA,"25","Geopelia striata","Zebra Dove",2023,2251
"incdov",NA,"2016","Columbina inca","Inca Dove",2023,2261
"cogdov",NA,"3445","Columbina passerina","Common Ground Dove",2023,2262
"rugdov",NA,"4","Columbina talpacoti","Ruddy Ground Dove",2023,2286
"y00320",NA,"1","Columbina sp.","ground dove/Inca Dove",2023,2303
"gfqdov",NA,"1","Geotrygon caniceps","Gray-fronted Quail-Dove",2023,2335
"wfqdov",NA,"1","Geotrygon leucometopia","White-fronted Quail-Dove",2023,2336
"whtdov",NA,"36","Leptotila verreauxi","White-tipped Dove",2023,2340
"whwdov",NA,"4320","Zenaida asiatica","White-winged Dove",2023,2404
"moudov",NA,"82294","Zenaida macroura","Mourning Dove",2023,2427
"dove1",NA,"37","Columbidae sp.","pigeon/dove sp.",2023,2855
"grbani",NA,"2","Crotophaga sulcirostris","Groove-billed Ani",2023,3026
"greroa",NA,"1176","Geococcyx californianus","Greater Roadrunner",2023,3037
"squcuc1",NA,"2","Piaya cayana","Squirrel Cuckoo",2023,3211
"yebcuc",NA,"16","Coccyzus americanus","Yellow-billed Cuckoo",2023,3230
"bkbcuc",NA,"2","Coccyzus erythropthalmus","Black-billed Cuckoo",2023,3235
"oricuc2",NA,"1","Cuculus optatus","Oriental Cuckoo",2023,3427
"lesnig",NA,"9","Chordeiles acutipennis","Lesser Nighthawk",2023,3500
"comnig",NA,"15","Chordeiles minor","Common Nighthawk",2023,3508
"nighth1",NA,"1","Chordeiles sp.","nighthawk sp.",2023,3522
"compau",NA,"1","Nyctidromus albicollis","Common Pauraque",2023,3553
"compoo",NA,"7","Phalaenoptilus nuttallii","Common Poorwill",2023,3604
"chwwid",NA,"26","Antrostomus carolinensis","Chuck-will's-widow",2023,3610
"bucnig",NA,"1","Antrostomus ridgwayi","Buff-collared Nightjar",2023,3627
"easwpw1",NA,"15","Antrostomus vociferus","Eastern Whip-poor-will",2023,3630
"whcswi",NA,"3","Streptoprocne zonaris","White-collared Swift",2023,3822
"chiswi",NA,"74","Chaetura pelagica","Chimney Swift",2023,3874
"vauswi",NA,"4","Chaetura vauxi","Vaux's Swift",2023,3875
"whtswi",NA,"7","Aeronautes saxatalis","White-throated Swift",2023,4134
"ruthum1",NA,"2","Chrysolampis mosquitus","Ruby-topaz Hummingbird",2023,4357
"peacoq1",NA,"1","Lophornis pavoninus","Peacock Coquette",2023,4427
"maghum1",NA,"32","Eugenes fulgens","Rivoli's Hummingbird",2023,4698
"plcsta",NA,"1","Heliomaster constantii","Plain-capped Starthroat",2023,4704
"buthum",NA,"9","Lampornis clemenciae","Blue-throated Mountain-gem",2023,4727
"luchum",NA,"10","Calothorax lucifer","Lucifer Hummingbird",2023,4773
"rthhum",NA,"4675","Archilochus colubris","Ruby-throated Hummingbird",2023,4776
"bkchum",NA,"2103","Archilochus alexandri","Black-chinned Hummingbird",2023,4777
"archil1",NA,"47","Archilochus colubris/alexandri","Ruby-throated/Black-chinned Hummingbird",2023,4780
"annhum",NA,"8768","Calypte anna","Anna's Hummingbird",2023,4787
"coshum",NA,"759","Calypte costae","Costa's Hummingbird",2023,4790
"x00618",NA,"2","Calypte anna x costae","Anna's x Costa's Hummingbird (hybrid)",2023,4793
"calypt",NA,"16","Calypte anna/costae","Anna's/Costa's Hummingbird",2023,4794
"calhum",NA,"178","Selasphorus calliope","Calliope Hummingbird",2023,4795
"x00619",NA,"2","Calypte anna x Selasphorus calliope","Anna's x Calliope Hummingbird (hybrid)",2023,4797
"rufhum",NA,"4188","Selasphorus rufus","Rufous Hummingbird",2023,4798
"allhum",NA,"1425","Selasphorus sasin","Allen's Hummingbird",2023,4803
"y00001",NA,"44","Selasphorus rufus/sasin","Rufous/Allen's Hummingbird",2023,4808
"brthum",NA,"384","Selasphorus platycercus","Broad-tailed Hummingbird",2023,4809
"selasp",NA,"52","Selasphorus sp.","Selasphorus sp.",2023,4829
"brbhum",NA,"191","Cynanthus latirostris","Broad-billed Hummingbird",2023,4837
"goceme1",NA,"1","Cynanthus auriceps","Golden-crowned Emerald",2023,4851
"whehum",NA,"4","Basilinna leucotis","White-eared Hummingbird",2023,4888
"mexwoo1",NA,"2","Eupherusa ridgwayi","Mexican Woodnymph",2023,4980
"vichum",NA,"19","Ramosomyia violiceps","Violet-crowned Hummingbird",2023,5012
"berhum",NA,"2","Saucerottia beryllina","Berylline Hummingbird",2023,5025
"cinhum1",NA,"1","Amazilia rutila","Cinnamon Hummingbird",2023,5067
"bubhum",NA,"60","Amazilia yucatanensis","Buff-bellied Hummingbird",2023,5073
"rtlhum",NA,"1","Amazilia tzacatl","Rufous-tailed Hummingbird",2023,5078
"whthum2",NA,"2","Leucochloris albicollis","White-throated Hummingbird",2023,5135
"hummin",NA,"149","Trochilidae sp.","hummingbird sp.",2023,5182
"clarai11",NA,"3","Rallus crepitans","Clapper Rail",2023,5247
"rallus",NA,"1","Rallus elegans/crepitans","King/Clapper Rail",2023,5264
"virrai",NA,"17","Rallus limicola","Virginia Rail",2023,5268
"sora",NA,"8","Porzana carolina","Sora",2023,5428
"comgal1",NA,"37","Gallinula galeata","Common Gallinule",2023,5442
"y00475",NA,"42","Fulica americana","American Coot",2023,5474
"amecoo","y00475","97","Fulica americana (Red-shielded)","American Coot (Red-shielded)",2023,5477
"coot1",NA,"1","Fulica sp.","coot sp.",2023,5487
"purgal2",NA,"1","Porphyrio martinica","Purple Gallinule",2023,5489
"limpki",NA,"32","Aramus guarauna","Limpkin",2023,5642
"sancra",NA,"396","Antigone canadensis","Sandhill Crane",2023,5671
"sancra1","sancra","1","Antigone canadensis canadensis","Sandhill Crane (canadensis)",2023,5672
"sancra2","sancra","1","Antigone canadensis tabida/rowani","Sandhill Crane (tabida/rowani)",2023,5673
"sancra5","sancra","27","Antigone canadensis pratensis","Sandhill Crane (pratensis)",2023,5677
"whocra",NA,"1","Grus americana","Whooping Crane",2023,5690
"bknsti",NA,"2","Himantopus mexicanus","Black-necked Stilt",2023,5741
"pagplo",NA,"11","Pluvialis fulva","Pacific Golden-Plover",2023,5787
"killde",NA,"959","Charadrius vociferus","Killdeer",2023,5798
"semplo",NA,"2","Charadrius semipalmatus","Semipalmated Plover",2023,5805
"wilplo",NA,"1","Anarhynchus wilsonia","Wilson's Plover",2023,5894
"plover2",NA,"1","Charadriidae sp.","plover sp.",2023,5930
"lobcur",NA,"4","Numenius americanus","Long-billed Curlew",2023,5988
"lobdow",NA,"1","Limnodromus scolopaceus","Long-billed Dowitcher",2023,6028
"jacsni",NA,"1","Lymnocryptes minimus","Jack Snipe",2023,6030
"amewoo",NA,"262","Scolopax minor","American Woodcock",2023,6031
"comsni",NA,"17","Gallinago gallinago","Common Snipe",2023,6064
"wilsni1",NA,"51","Gallinago delicata","Wilson's Snipe",2023,6069
"redpha1",NA,"1","Phalaropus fulicarius","Red Phalarope",2023,6085
"comsan",NA,"1","Actitis hypoleucos","Common Sandpiper",2023,6090
"sposan",NA,"31","Actitis macularius","Spotted Sandpiper",2023,6091
"solsan",NA,"1","Tringa solitaria","Solitary Sandpiper",2023,6094
"wantat1",NA,"1","Tringa incana","Wandering Tattler",2023,6098
"lesyel",NA,"2","Tringa flavipes","Lesser Yellowlegs",2023,6109
"willet1",NA,"1","Tringa semipalmata","Willet",2023,6111
"willet2","willet1","1","Tringa semipalmata semipalmata","Willet (Eastern)",2023,6112
"greyel",NA,"7","Tringa melanoleuca","Greater Yellowlegs",2023,6118
"leasan",NA,"11","Calidris minutilla","Least Sandpiper",2023,6187
"pecsan",NA,"3","Calidris melanotos","Pectoral Sandpiper",2023,6188
"wessan",NA,"1","Calidris mauri","Western Sandpiper",2023,6192
"semsan",NA,"3","Calidris pusilla","Semipalmated Sandpiper",2023,6193
"parauk",NA,"1","Aethia psittacula","Parakeet Auklet",2023,6351
"doveki",NA,"2","Alle alle","Dovekie",2023,6376
"bklkit",NA,"2","Rissa tridactyla","Black-legged Kittiwake",2023,6409
"bongul",NA,"10","Chroicocephalus philadelphia","Bonaparte's Gull",2023,6422
"blbgul1",NA,"1","Chroicocephalus bulleri","Black-billed Gull",2023,6428
"bkhgul",NA,"2","Chroicocephalus ridibundus","Black-headed Gull",2023,6434
"grygul",NA,"1","Leucophaeus modestus","Gray Gull",2023,6446
"laugul",NA,"53","Leucophaeus atricilla","Laughing Gull",2023,6448
"fragul",NA,"3","Leucophaeus pipixcan","Franklin's Gull",2023,6452
"heegul",NA,"1","Larus heermanni","Heermann's Gull",2023,6470
"mewgul2",NA,"4","Larus brachyrhynchus","Short-billed Gull",2023,6477
"ribgul",NA,"584","Larus delawarensis","Ring-billed Gull",2023,6479
"x00616",NA,"1","Leucophaeus atricilla x Larus delawarensis","Laughing x Ring-billed Gull (hybrid)",2023,6481
"wesgul",NA,"54","Larus occidentalis","Western Gull",2023,6485
"hergul",NA,"712","Larus argentatus","Herring Gull",2023,6496
"amhgul1","hergul","54","Larus argentatus smithsonianus","Herring Gull (American)",2023,6497
"gbbgul",NA,"60","Larus marinus","Great Black-backed Gull",2023,6516
"glagul",NA,"25","Larus hyperboreus","Glaucous Gull",2023,6519
"lbbgul",NA,"2","Larus fuscus","Lesser Black-backed Gull",2023,6526
"calgul",NA,"58","Larus californicus","California Gull",2023,6539
"glwgul",NA,"92","Larus glaucescens","Glaucous-winged Gull",2023,6543
"x00051",NA,"12","Larus occidentalis x glaucescens","Western x Glaucous-winged Gull (hybrid)",2023,6544
